number,reference,customer_code,customer_kind,module,module_version,module_ref,channel,request_date,area,phase,process_data,survey_ref,phase_std_min,criteria_count,data_impact,scope_kind,estimate_days,grade,capi_month,operators_affected,days_queued,reviewer_signed,customer_approval,outcome_certain,operator
1,SPEC-2026-001,CLI-023,maglificio conto terzi,Distinta base e consumi,v3.1,Distinta base e consumi v3.1,portale assistenza,2026-09-08,Tessitura,tessitura su telaio rettilineo 12GG,dichiarati,RILEVAZIONE NON ESEGUITA,NON RILEVATO,4,nessuno,software,NON STIMABILE,SP-3,1200,4,34,False,True,True,REV-01
2,SPEC-2026-002,CLI-031,confezionista esterno,Controllo qualità e misure,v3.4,Controllo qualità e misure v3.4,telefono,2026-09-02,Controllo qualità,controllo misure e difettosità,rilevati,RIL-2026-032,"3,20",0,nuovo campo,software,NON STIMABILE,SP-2,340,5,30,False,True,True,REV-03
3,SPEC-2026-003,CLI-045,maglificio conto terzi,Conto lavoro e terzisti,v2.0,Conto lavoro e terzisti v2.0,portale assistenza,2026-09-05,Conto lavoro,uscita e rientro dai terzisti,rilevati,RIL-2026-024,"1,43",2,nuovo campo,software,9–10,SP-2,520,9,23,True,True,False,REV-03
4,SPEC-2026-004,CLI-041,confezionista esterno,Distinta base e consumi,v4.3,Distinta base e consumi v4.3,portale assistenza,2026-09-05,Tessitura,tessitura su telaio rettilineo 12GG,rilevati,RIL-2026-036,"59,20",2,nessuno,software,6–9,SP-1,1200,2,34,True,False,True,REV-04
5,SPEC-2026-005,CLI-040,maglificio con marchio proprio,Controllo qualità e misure,v2.6,Controllo qualità e misure v2.6,portale assistenza,2026-09-06,Controllo qualità,controllo misure e difettosità,rilevati,RIL-2026-005,"2,15",2,nuovo campo,processo,NON STIMABILE,SP-5,950,14,25,True,True,False,REV-01
6,SPEC-2026-006,CLI-024,maglificio conto terzi,Avanzamento di reparto,v3.1,Avanzamento di reparto v3.1,visita in reparto,2026-09-03,Tessitura,tessitura su telaio rettilineo 7GG,rilevati,RIL-2026-016,"30,85",3,nuovo campo,software,9–14,SP-2,950,8,20,False,False,False,REV-01
7,SPEC-2026-007,CLI-003,ufficio stile e sviluppo campionario,Avanzamento di reparto,v3.6,Avanzamento di reparto v3.6,posta elettronica,2026-09-02,Rimaglio,rimaglio manuale dei pannelli,rilevati,RIL-2026-055,"19,30",1,modifica di record già in produzione,software,NON STIMABILE,SP-4,340,10,31,False,True,True,REV-02
8,SPEC-2026-008,CLI-035,maglificio con marchio proprio,Controllo qualità e misure,v4.3,Controllo qualità e misure v4.3,portale assistenza,2026-09-07,Controllo qualità,controllo misure e difettosità,rilevati,RIL-2026-004,"2,08",4,nessuno,software,7–11,SP-1,1200,3,12,True,True,True,REV-04
9,SPEC-2026-009,CLI-021,confezionista esterno,Distinta base e consumi,v2.2,Distinta base e consumi v2.2,visita in reparto,2026-09-08,Tessitura,tessitura su telaio rettilineo 12GG,rilevati,RIL-2026-036,"65,11",3,nuovo campo,software,9–14,SP-2,180,7,24,False,False,False,REV-03
10,SPEC-2026-010,CLI-016,maglificio conto terzi,Programmazione e lancio,v5.4,Programmazione e lancio v5.4,portale assistenza,2026-09-07,Programmazione,lancio della commessa e assegnazione ai telai,dichiarati,RILEVAZIONE NON ESEGUITA,NON RILEVATO,2,nuovo campo,software,NON STIMABILE,SP-3,950,2,12,True,False,True,REV-02
11,SPEC-2026-011,CLI-029,confezionista esterno,Avanzamento di reparto,v2.6,Avanzamento di reparto v2.6,posta elettronica,2026-09-11,Rimaglio,rimaglio manuale dei pannelli,rilevati,RIL-2026-028,"31,54",2,modifica di record già in produzione,software,8–12,SP-4,520,4,26,True,False,True,REV-03
12,SPEC-2026-012,CLI-013,maglificio conto terzi,Avanzamento di reparto,v4.0,Avanzamento di reparto v4.0,posta elettronica,2026-09-07,Tessitura,tessitura su telaio rettilineo 7GG,dichiarati,RILEVAZIONE NON ESEGUITA,NON RILEVATO,1,nuovo campo,software,NON STIMABILE,SP-3,700,3,2,True,False,True,REV-03
