number,reference,member_sector,category,channel,norm_ref,contract_ref,grade,escalation,deadline_days,members_affected,open_days,answered_in_writing,outcome_certain,operator
1,PRO-2026-001,metalmeccanica,Lavoro e occupazione,telefono,NON DETERMINATO,contratto collettivo di categoria in vigore — metalmeccanica,UA-4,ufficio competente,45,1,16,False,True,SPT-03
2,PRO-2026-002,acconciatura,Lavoro e occupazione,posta elettronica,"Decreto Delegato 30 ottobre 2023 n.153 — contratti a termine, somministrazione e distacco",contratto collettivo di categoria in vigore — acconciatura,UA-2,consulente del lavoro,30,1,6,True,True,SPT-03
3,PRO-2026-003,metalmeccanica,Lavoro e occupazione,sportello,"Decreto Delegato 15 luglio 2022 n.105 — interventi per l'occupazione, formazione e politiche attive",contratto collettivo di categoria in vigore — metalmeccanica,UA-2,consulente del lavoro,20,2,15,True,True,SPT-04
4,PRO-2026-004,impiantistica,Lavoro e occupazione,posta elettronica,Legge 9 dicembre 2022 n.164 — riforma delle norme relative all'occupazione,contratto collettivo di categoria in vigore — impiantistica,UA-1,sportello,15,18,2,False,False,SPT-03
5,PRO-2026-005,acconciatura,Contenzioso in corso,posta elettronica,NON DETERMINATO,NON DETERMINATO,UA-5,legale esterno,30,1,22,False,True,SPT-03
6,PRO-2026-006,grafica e stampa,Lavoro agile,telefono,Legge 13 novembre 2020 n.202 — disciplina del lavoro agile,contratto collettivo di categoria in vigore — grafica e stampa,UA-2,consulente del lavoro,10,18,4,True,True,SPT-01
7,PRO-2026-007,autoriparazione,Previdenza e contributi,telefono,Legge 29 novembre 2022 n.157 — riforma del sistema previdenziale,contratto collettivo di categoria in vigore — autoriparazione,UA-3,commercialista,30,75,15,True,False,SPT-03
8,PRO-2026-008,estetica e benessere,Contrattazione e rappresentanza,posta elettronica,"Legge 9 maggio 2016 n.59 — libertà sindacale, contrattazione collettiva e diritto di sciopero nei luoghi di lavoro",contratto collettivo di categoria in vigore — estetica e benessere,UA-1,sportello,15,1,17,False,False,SPT-03
9,PRO-2026-009,estetica e benessere,Licenze e attività economiche,posta elettronica,Decreto Delegato 24 gennaio 2022 n.11 — lavoro autonomo senza sede fissa,contratto collettivo di categoria in vigore — estetica e benessere,UA-2,consulente del lavoro,30,75,17,True,False,SPT-02
10,PRO-2026-010,panificazione,Previdenza e contributi,telefono,Legge 29 novembre 2022 n.157 — riforma del sistema previdenziale,NON DETERMINATO,UA-3,commercialista,10,1,17,True,True,SPT-03
11,PRO-2026-011,legno e arredamento,Licenze e attività economiche,sportello,NON DETERMINATO,contratto collettivo di categoria in vigore — legno e arredamento,UA-4,ufficio competente,45,2,18,False,False,SPT-03
12,PRO-2026-012,legno e arredamento,Famiglia e welfare,sportello,Legge 14 settembre 2022 n.129 — interventi a sostegno della famiglia,contratto collettivo di categoria in vigore — legno e arredamento,UA-3,commercialista,20,1,1,True,True,SPT-03
