number,reference,test_kind,order,machine,spec_ref,software_version,plc_article,library_block,tests_done,tests_total,tests_failed,punch_category,cycle_time_s,cycle_time_contract_s,grade,line_down_hours,open_tests,travel_km,customer_signed,outcome_certain,operator
1,CLD-2026-001,FAT (in fabbrica),RIE-89,Linea di riempimento,SPC-2026-099 rev. B,V3.7.7,6ES7516-8GF30-0AB0,MC_GearIn (PLCopen),16,16,0,nessun punto aperto,22.5,23.5,CE-1,12,0,207,True,True,R. Ceccoli
2,CLD-2026-002,FAT (in fabbrica),RIE-50,Linea di riempimento,SPC-2026-062 rev. B,V1.5.6,6ES7314-1HF30-0AB0,MC_GearIn (PLCopen),15,18,0,modifica concordata dopo il collaudo,22.0,20.6,CE-3,11,3,34,False,True,R. Ceccoli
3,CLD-2026-003,SAT (in sito),CEL-77,Cella di asservimento torni,SPC-2026-082 rev. B,V2.9.8,6ES7215-3GB10-0XB0,FB_Presa V1.4.2,14,14,0,nessun punto aperto,24.5,23.1,CE-2,14,0,168,True,False,N. Amati
4,CLD-2026-004,SAT (in sito),PAL-69,Pallettizzatore a 4 assi,SPC-2026-050 rev. B,V1.9.0,NON DETERMINATO,NON ANNOTATA,10,12,0,modifica concordata dopo il collaudo,18.6,17.8,CE-3,0,2,400,True,True,N. Amati
5,CLD-2026-005,FAT (in fabbrica),SLD-73,Isola di saldatura,SPC-2026-035 rev. B,V1.8.1,6ES7314-1GF30-0AB0,FB_PortaSicurezza V2.2.0,12,16,2,modifica concordata dopo il collaudo,13.4,13.9,CE-4,31,4,317,True,True,N. Amati
6,CLD-2026-006,SAT (in sito),DEP-49,Depallettizzatore a portale,SPC-2026-059 rev. A,V2.0.5,6ES7314-3GD30-0AB0,FB_Presa V1.4.2,14,14,0,nessun punto aperto,19.2,18.8,CE-2,5,0,253,False,True,N. Amati
7,CLD-2026-007,FAT (in fabbrica),CEL-39,Cella di asservimento torni,SPC-2026-082 rev. B,V3.7.4,6ES7516-6HG40-0AB0,MC_MoveAbsolute (PLCopen),10,12,1,richiede la ripetizione della prova,17.5,17.8,CE-3,10,2,286,False,True,D. Muratori
8,CLD-2026-008,FAT (in fabbrica),CEL-35,Cella di asservimento torni,SPC-2026-026 rev. B,V1.8.2,6ES7214-1EB30-0AB0,FB_Presa V1.4.2,11,14,2,da sistemare in sito prima del SAT,21.5,19.3,CE-4,2,3,151,True,True,N. Amati
9,CLD-2026-009,FAT (in fabbrica),SLD-74,Isola di saldatura,SPC-2026-036 rev. C,V3.9.3,6ES7315-5EB30-0XB0,FB_Pallettizza V2.1.0,10,14,0,da chiudere in loco,22.4,19.8,CE-4,16,4,318,False,True,R. Ceccoli
10,CLD-2026-010,SAT (in sito),PAL-42,Pallettizzatore a 4 assi,SPC-2026-070 rev. B,V1.8.1,6ES7518-2EF30-0XB0,MC_GearIn (PLCopen),11,14,2,richiede la ripetizione della prova,11.6,10.4,CE-4,18,3,128,False,False,R. Ceccoli
11,CLD-2026-011,FAT (in fabbrica),PAL-19,Pallettizzatore a 4 assi,SPC-2026-044 rev. C,V1.0.5,6ES7314-1EF30-0AB0,FB_PortaSicurezza V2.2.0,14,16,2,modifica concordata dopo il collaudo,15.5,13.8,CE-3,19,2,93,True,True,N. Amati
12,CLD-2026-012,FAT (in fabbrica),DEP-36,Depallettizzatore a portale,SPC-2026-062 rev. A,V1.4.5,6ES7314-4HB30-0AB0,MC_GearIn (PLCopen),13,14,0,da chiudere in loco,22.3,20.4,CE-2,25,1,261,True,False,R. Ceccoli
